play,Stage
1,2
player_AX,300
player_KN,500
player_UX,1000
player_HI,2000
player_RS,421
player_BB,234
player_LL,4234
player_VV,300
player_YH,500
player_IJ,1000
player_BT,2000
player_LO,421
player_VY,234
player_IJ,4234
player_ST,300
player_CC,500
player_MM,1000
player_WW,2000
player_UJ,421
player_UH,234
player_CK,4234
player_MP,300
player_WZ,500
player_JK,1000
player_TU,2000
player_DD,421
player_NN,234
player_XX,4234
player_IK,300
player_YG,500
player_DX,1000
player_NQ,2000
player_AB,421
player_KL,234
player_UV,4234
player_EE,300
player_OO,500
player_YY,1000
player_OL,2000
player_TF,421
player_EM,234
player_OR,4234
player_BC,300
player_LM,500
player_VW,1000
player_FF,2000
player_PP,421
player_ZZ,234
player_ZX,4234
player_RD,300
player_FR,500
player_PS,1000
player_CD,2000
player_MN,421
player_WX,234
player_GG,4234
player_QQ,300
player_QA,500
player_CV,1000
player_ES,2000
player_GS,421
player_QT,234
player_DE,4234
player_NO,300
player_XY,500
player_HH,1000
player_RR,2000
player_WS,421
player_BN,234
player_WA,4234
player_HT,300
player_RU,500
player_EF,1000
player_OP,2000
player_YZ,421
player_II,234
player_SS,4234
player_ED,300
player_MK,500
player_QZ,1000
player_IV,2000
player_SV,421
player_FG,234
player_PQ,4234
player_ZA,300
player_JJ,500
player_TT,1000
player_RF,2000
player_PL,421
player_AX,234
player_JW,4234
player_TW,300
player_GH,500
player_QR,1000
player_AA,2000
player_KK,421
player_UU,234
player_TG,4234
player_OK,300
player_SC,500
