id,CurrencyMax,CurrencyMin,LuckMax,LuckMin,EliminateMax,EliminateMin,TurntableMax
id,小于等于,大于,弹窗下限,弹窗上限,消除下限,消除上限,转盘金额
1,1,-1,5,5,0,0,8
2,50,1,5,5,0,0,8
3,150,50,10,15,0,0,8
4,200,150,5,10,0,0,8
5,2700,200,25,35,0,0,8
6,2730,2700,12,18,0,0,8
7,2760,2730,11,16.5,0,0,7.2
8,2790,2760,10,15,0,0,6.5
9,2820,2790,8,12,0,0,5.2
10,2840,2820,4,6,0,0,2.5
11,2860,2840,1.5,2.25,0,0,1
12,2880,2860,1.2,1.8,0,0,0.8
13,2920,2880,0.8,1.2,0,0,0.5
14,2950,2920,0.6,0.9,0,0,0.4
15,2980,2950,0.4,0.6,0,0,0.25
16,2993,2980,0.2,0.3,0,0,0.1
17,2999,2993,0.1,0.15,0,0,0.05
18,3000,2999,0,0,0,0,0.05
