分类,Cocos源,Unity Prefab,UI脚本,Label数,Sprite节点,状态,备注
弹窗,"assets/SettingPopup/Prefab/SettingPopup.prefab","Assets/ImportedFromCocos/UI/SettingPopup.prefab",SettingPopupView,16,29,✅,
弹窗,"assets/SuccessPopup/Prefab/SuccessPopup.prefab","Assets/ImportedFromCocos/UI/SuccessPopup.prefab",SuccessPopupView,2,6,✅,
弹窗,"assets/NewPlayPopup/Prefab/NewPlayPopup.prefab","Assets/ImportedFromCocos/UI/NewPlayPopup.prefab",NewPlayPopupView,2,6,✅,
弹窗,"assets/RankPopup/Prefab/RankPopup.prefab","Assets/ImportedFromCocos/UI/RankPopup.prefab",RankPopupView,17,22,✅,
弹窗,"assets/CollectPopup/Prefab/CollectPopup.prefab","Assets/ImportedFromCocos/UI/CollectPopup.prefab",CollectPopupView,3,9,✅,
弹窗,"assets/GetCollectPopup/Prefab/GetCollectPopup.prefab","Assets/ImportedFromCocos/UI/GetCollectPopup.prefab",GetCollectPopupView,2,4,✅,
弹窗,"assets/RecoverHeartPopup/Prefab/RecoverHeartPopup.prefab","Assets/ImportedFromCocos/UI/RecoverHeartPopup.prefab",RecoverHeartPopupView,8,18,✅,
弹窗,"assets/RecoverHeartPopup/Prefab/GetHeartPopup.prefab","Assets/ImportedFromCocos/UI/GetHeartPopup.prefab",GetHeartPopupView,3,8,✅,
弹窗,"assets/RecoverHeartPopup/Prefab/DailyHeartPopup.prefab","Assets/ImportedFromCocos/UI/DailyHeartPopup.prefab",DailyHeartPopupView,3,8,✅,
弹窗,"assets/FeedbackPopup/Prefab/FeedbackPopup.prefab","Assets/ImportedFromCocos/UI/FeedbackPopup.prefab",FeedbackPopupView,13,17,✅,
系统,"assets/ClickPopup/Prefab/ClickPopup.prefab","Assets/ImportedFromCocos/UI/ClickPopup.prefab",-,0,0,✅,
子项,"assets/RankPopup/Prefab/RankItem.prefab","Assets/ImportedFromCocos/UI/RankItem.prefab",-,4,5,✅,
子项,"assets/SuccessPopup/Prefab/RankUpItem.prefab","Assets/ImportedFromCocos/UI/RankUpItem.prefab",-,51,65,✅,
子项,"assets/CollectPopup/Prefab/CollectItem.prefab","Assets/ImportedFromCocos/UI/CollectItem.prefab",-,2,3,✅,
子项,"assets/GetCollectPopup/Prefab/GetCollectItem.prefab","Assets/ImportedFromCocos/UI/GetCollectItem.prefab",-,1,2,✅,
子项,"assets/Res/Prefab/HeartItem.prefab","Assets/ImportedFromCocos/UI/HeartItem.prefab",-,3,4,✅,
