# 从 Cocos 自动提取的 Label 文本
# 源文件: d:\BaiduNetdiskDownload\水排序\KaiGeDaNaoMen2.4.13js\assets\FeedbackPopup\Prefab\FeedbackPopup.prefab

FeedbackPopup/content/frame/label	意见反馈
FeedbackPopup/content/center/title	请选择反馈类型
FeedbackPopup/content/center/ToggleContainer/toggle0/desc	虚假宣传
FeedbackPopup/content/center/ToggleContainer/toggle1/desc	游戏卡死
FeedbackPopup/content/center/ToggleContainer/toggle2/desc	数据丢失
FeedbackPopup/content/center/ToggleContainer/toggle3/desc	其它BUG
FeedbackPopup/content/center/ToggleContainer/toggle4/desc	想法建议
FeedbackPopup/content/center/info	亲爱的玩家朋友，如果您有更好的想法， 
也可以反馈给我们，您的想法，没准就能实现哦!
FeedbackPopup/content/center/title1	内容描述(不少于10个字)
FeedbackPopup/content/center/EditBox/PLACEHOLDER_LABEL	请输入你的问题......
FeedbackPopup/content/center/tip	1分钟只能提交一次哦
FeedbackPopup/content/center/wordsNumLabel	(0/150)
FeedbackPopup/content/btnSubmit/label	提 交
