# 从 Cocos 自动提取的 Label 文本
# 源文件: d:\BaiduNetdiskDownload\水排序\KaiGeDaNaoMen2.4.13js\assets\RankPopup\Prefab\RankPopup.prefab

RankPopup/content/frame/label	排行榜
RankPopup/content/tabNode/btnFriends/label	好友
RankPopup/content/tabNode/btnTotal/label	总榜
RankPopup/content/tabNode/btnProvince/label	地区榜
RankPopup/content/rankNode/title/no	排名
RankPopup/content/rankNode/title/user	玩家
RankPopup/content/rankNode/title/bar	累计通关
RankPopup/content/rankNode/me/rank2/label	4
RankPopup/content/rankNode/me/rank3	未上榜
RankPopup/content/rankNode/me/name	玩家114514
RankPopup/content/rankNode/me/passLevel	0关
RankPopup/content/rankNode/me/province	广东
RankPopup/content/authUserTip/label	为了更好地展示排名， 

需要先获取您的头像和名称
RankPopup/content/authUserTip/btnAuth/label	点击授权
RankPopup/content/btnShare/label	炫耀一下
RankPopup/content/tip	每半小时刷新一次榜单
RankPopup/content/tip2	存档提示：移除小程序或清楚缓存会删除游戏存档!!!请谨慎操作！
