# 从 Cocos 自动提取的 Label 文本
# 源文件: d:\BaiduNetdiskDownload\水排序\KaiGeDaNaoMen2.4.13js\assets\SuccessPopup\Prefab\RankUpItem.prefab

RankUpItem/title/no	排名
RankUpItem/title/user	玩家
RankUpItem/title/bar	累计通关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/scrollview/view/content/item/rank2/label	4
RankUpItem/scrollview/view/content/item/name	玩家114514
RankUpItem/scrollview/view/content/item/passLevel	998关
RankUpItem/me/rank2/label	4
RankUpItem/me/name	玩家114514
RankUpItem/me/passLevel	0关
