# 从 Cocos 自动提取的 Label 文本
# 源文件: d:\BaiduNetdiskDownload\水排序\KaiGeDaNaoMen2.4.13js\assets\SettingPopup\Prefab\SettingPopup.prefab

SettingPopup/content/vibrationNode/label	震动
SettingPopup/content/soundNode/label	音效
SettingPopup/content/musicNode/label	音乐
SettingPopup/content/btnHome/label	返回主页
SettingPopup/content/btnRestart/label	重新开始
SettingPopup/content/btnRestart/img/label	-1
SettingPopup/content/btnContinue/label	继续游戏
SettingPopup/HeartItem/img/num	5
SettingPopup/HeartItem/time	02:33
SettingPopup/HeartItem/down	-1
SettingPopup/gm/layoutNode/btnStart/Background/Label	开始游戏
SettingPopup/gm/layoutNode/levelEditBox/PLACEHOLDER_LABEL	输入关卡
SettingPopup/gm/layoutNode/btnGameUIHide/Background/Label	隐藏游戏UI
SettingPopup/gm/layoutNode/btnGameUIShow/Background/Label	显示游戏UI
SettingPopup/gm/layoutNode/btnNext/Background/Label	下一关
SettingPopup/gm/layoutNode/btnSuccess/Background/Label	立即通关
